text,label
"Congratulations! You've won $1000. Click here to claim your prize now!",1
"Your account has been suspended. Verify immediately or lose access.",1
"URGENT: Update your payment information within 24 hours to avoid account closure.",1
"You have inherited $5 million. Send your bank details to receive the money.",1
"Your package could not be delivered. Click here to reschedule delivery.",1
"Dear customer your Netflix subscription has expired. Update payment here.",1
"IRS Notice: You owe $5000 in back taxes. Pay immediately to avoid arrest.",1
"Your Apple ID has been locked. Click here to unlock your account now.",1
"You are pre-approved for a $50000 loan with no credit check required!",1
"Alert: Suspicious activity detected on your PayPal account. Verify identity.",1
"Meeting scheduled for tomorrow at 2 PM in conference room B.",0
"Your order has shipped and will arrive on Thursday. Thank you for shopping!",0
"Reminder: Team standup at 10 AM tomorrow morning.",0
"Thanks for your purchase! Your receipt is attached to this email.",0
"Your prescription is ready for pickup at the pharmacy.",0
"Hi, I hope you're doing well. Let's catch up over coffee this weekend.",0
"Your appointment with Dr. Smith is confirmed for next Tuesday at 3 PM.",0
"Welcome to our newsletter! Here are this week's top articles.",0
"Your monthly statement is now available. Login to view your balance.",0
"Project update: All tasks completed on schedule. Great work team!",0
"WINNER! You've been selected for a FREE iPhone 15. Claim now before it expires!",1
"Your bank account will be closed unless you confirm your identity immediately.",1
"Act now! Limited time offer: Get rich quick with our investment program.",1
"Microsoft security alert: Your computer has been compromised. Call now!",1
"Your Amazon order #123456 requires payment verification. Click link now.",1
"Final notice: Your social security number has been suspended. Call immediately.",1
"You have received a secure message from your bank. Login to view it.",1
"Verify your email address to continue using our service.",0
"Password reset requested for your account. Click here if this was you.",0
"Your feedback on our service would be appreciated. Take our 2-minute survey.",0
"Confirm your subscription to our weekly newsletter.",0
"Your flight reservation for next month has been confirmed.",0
"Thank you for registering! Please verify your email to activate your account.",0
"Your delivery is scheduled for tomorrow between 9 AM and 5 PM.",0
"Invoice #12345 is now available for download in your account dashboard.",0
"We noticed a new login to your account from a new device. Was this you?",0
"Your credit card ending in 1234 was charged $99.99 for annual membership.",0
"Dear valued customer, update your billing info or service will be terminated!",1
"You've won a luxury cruise! Send personal details to claim your free vacation.",1
"Urgent security alert: Unusual activity detected. Verify account immediately!",1
"Your refund of $500 is pending. Click here to process your payment now.",1
"Government grant approved! You qualify for $25000. Apply now!",1
"Your password will expire in 24 hours. Reset it now to maintain access.",1
"Attention: Your parcel is waiting. Pay customs fee to receive delivery.",1
"Boss needs you to buy gift cards urgently. Reply with card numbers ASAP.",1
"Your colleague shared a document with you on Google Drive.",0
"Reminder: Staff meeting rescheduled to Friday at 3 PM.",0
"Your software license will expire in 30 days. Renew now to avoid disruption.",0
"New comment on your post: Someone replied to your discussion.",0
"Your reservation at Ocean View Restaurant is confirmed for Saturday 7 PM.",0
"System maintenance scheduled for this weekend. Services may be temporarily unavailable.",0
